DATE,forecast_value,Temparature,Humidity
2020-10-01,3.3665,36,25
2020-10-02,3.3665,36,23
2020-10-03,3.3665,25,76
2020-10-04,3.3665,20,87
2020-10-05,3.3665,35,58
2020-10-06,3.3665,35,52
2020-10-07,3.3665,37,41
2020-10-08,3.3665,28,75
2020-10-09,3.3665,20,87
2020-10-10,3.3665,22,48
2020-10-11,3.3665,22,56
2020-10-12,3.3665,25,56
2020-10-13,3.3665,31,30
2020-10-14,3.3665,31,56
2020-10-15,3.3665,21,81
2020-10-16,3.3665,17,86
2020-10-17,3.3665,18,76
2020-10-18,3.3665,24,65
2020-10-19,3.3665,27,69
2020-10-20,3.3665,27,67
2020-10-21,3.356,25,67
2020-10-22,3.356,24,68
2020-10-23,3.356,27,54
2020-10-24,3.356,25,60
2020-10-25,3.356,25,69
2020-10-26,3.356,25,63
2020-10-27,3.356,30,42
2020-10-28,3.356,32,19
2020-10-29,3.356,32,44
2020-10-30,3.356,19,86
2020-10-31,3.356,18,86
2020-11-01,3.356,22,77
2020-11-02,3.356,25,61
2020-11-03,3.356,29,29
2020-11-04,3.356,31,55
2020-11-05,3.356,30,39
2020-11-06,3.356,30,25
2020-11-07,3.356,27,62
2020-11-08,3.356,26,69
2020-11-09,3.356,29,62
2020-11-10,3.3435,33,24
2020-11-11,3.3435,33,28
2020-11-12,3.3435,33,21
2020-11-13,3.3435,33,24
2020-11-14,3.3435,32,28
2020-11-15,3.3435,19,76
2020-11-16,3.3435,30,53
2020-11-17,3.3435,30,56
2020-11-18,3.3435,27,48
2020-11-19,3.3435,31,36
2020-11-20,3.3435,19,87
2020-11-21,3.3435,17,90
2020-11-22,3.3435,15,91
2020-11-23,3.3435,21,75
2020-11-24,3.3435,25,66
2020-11-25,3.288,28,46
2020-11-26,3.288,32,33
2020-11-27,3.288,34,21
2020-11-28,3.288,30,54
2020-11-29,3.288,23,82
2020-11-30,3.288,36,32
2020-12-01,3.288,21,64
2020-12-02,3.288,22,64
2020-12-03,3.2725,21,59
2020-12-04,3.2725,22,57
2020-12-05,3.2725,23,55
2020-12-06,3.2725,23,52
2020-12-07,3.2725,24,42
2020-12-08,3.2725,25,45
2020-12-09,3.2725,25,46
2020-12-10,3.2725,27,30
2020-12-11,3.2725,27,31
2020-12-12,3.2725,27,39
2020-12-13,3.2725,30,37
2020-12-14,3.262,29,47
2020-12-15,3.262,22,73
2020-12-16,3.262,20,79
2020-12-17,3.262,19,75
2020-12-18,3.262,19,79
2020-12-19,3.262,24,83
2020-12-20,3.262,16,82
2020-12-21,3.262,12,90
2020-12-22,3.262,13,84
2020-12-23,3.262,17,66
2020-12-24,3.262,19,62
2020-12-25,3.262,19,60
2020-12-26,6.733,21,54
2020-12-27,6.733,27,48
2020-12-28,6.733,29,38
2020-12-29,6.733,29,32
2020-12-30,6.733,30,32
2020-12-31,6.733,23,70
2021-01-01,6.733,27,74
2021-01-02,6.733,23,77
2021-01-03,6.733,24,65
2021-01-04,6.733,28,62
2021-01-05,6.733,30,45
2021-01-06,6.733,31,48
2021-01-07,6.733,30,55
